text_a,label
Chinese converting to Islam after realising that no muslim was affected by #Coronavirus #COVD19 in the country,0
11 out of 13 people (from the Diamond Princess Cruise ship) who had intially tested negative in tests in Japan were later confirmed to be positive in the United States.,0
"COVID-19 Is Caused By A Bacterium, Not Virus And Can Be Treated With Aspirin",0
Mike Pence in RNC speech praises Donald Trump’s COVID-19 “seamless” partnership with governors and leaves out the president's state feuds: https://t.co/qJ6hSewtgB #RNC2020 https://t.co/OFoeRZDfyY,0
6/10 Sky's @EdConwaySky explains the latest #COVID19 data and government announcement. Get more on the #coronavirus data here👇 https://t.co/jvGZlSbFjH https://t.co/PygSKXesBg,1
No one can leave managed isolation for any reason without returning a negative test. If they refuse a test they can then be held for a period of up to 28 days. ⁣ ⁣ On June the 16th exemptions on compassionate grounds have been suspended. ⁣ ⁣,1
#IndiaFightsCorona India has one of the lowest #COVID19 mortality globally with less than 2% Case Fatality Rate. As a result of supervised home isolation &amp; effective clinical treatment many States/UTs have CFR lower than the national average. https://t.co/QLiK8YPP7E,1
RT @WHO: #COVID19 transmission occurs primarily through direct indirect or close contact with infected people through their saliva and res…,1
News and media outlet ABP Majha on the basis of an internal memo of South Central Railway reported that a special train has been announced to take the stranded migrant workers home.,0
"???Church services can???t resume until we???re all vaccinated, says Bill Gates.??�",0
You can still fly the friendly skies without fear of COVID if airlines stay serious about safety. https://t.co/H8mGjwDl7G #coronavirus,1
India records yet another single-day rise of over 28000 new cases while more than 5.5 lakh individuals have recovered from COVID-19. Kerala government sets up its first plasma bank in the state following in the steps of Delhi and West Bengal. #COVID19 #CoronavirusFacts https://t.co/JhSQUqMvta,0
A conspiracy theory audio about #COVID19 testing in #India circulating on @WhatsApp allegedly from MLA Geeta Jain ( @connectGEETA ). We do a quick #FactCheck on this to find that the minister has already clarified on same. https://t.co/SBhSTSr1MH,0
Tomorrow April 6 we will pass 10000 coronavirus deaths. We passed 5000 on April 2. We passed 1000 on March 26. We passed 100 on March 18.,1
"Labour's @Keir_Starmer asks about problems with #COVID19 testing adding that ""pretending there isn't a problem is part of the problem"". The PM says testing is ""at a record high"" with the UK ""testing more people than any other European country"". #PMQs: https://t.co/EjtlULskwu https://t.co/gqX6NijZmh",1
Youth Sports Organizations: Consider implementing CDC’s new tips for maintaining healthy operations during the #COVID19 outbreak such as staggered schedules &amp; options for individuals at higher risk for severe illness. More tips: https://t.co/tnPX5fnVG6. https://t.co/L31ep4cmUw,1
